,ASIN,CategoryName,BrandName,Title,ImageUrl,Category,FilePath
0,B014FCC4NO,headphones,01 Audio,"Bluetooth Headphones, Wireless Earbuds Earphones with Microphone by Zero-One Audio 01ABH002-High Quality Sound-Light Weight Design for Sports-Made for Phones Like Samsung S6, iPhone 6 and More (Black)",http://ecx.images-amazon.com/images/I/31KpP1yOj5L.jpg,22,headphones/B014FCC4NO.jpg
1,B00RE20CVO,cables,1byone," 1Byone Lightning to USB Cable 3.28ft (1M) for iPhone 6/6s, 6/6s Plus, iPhone 5/5s/5c, iPad with Retina display, iPad mini, iPad Air, iPad Pro,iPod nano 7th Gen and iPod touch 5th Generation-1-Year Limited Warranty[[Apple MFI Certified]",http://ecx.images-amazon.com/images/I/31cldYZDLeL.jpg,4,cables/B00RE20CVO.jpg
2,B00HEZV6AC,security_and_surveillance,1byone,"1byone? 7 Inch Colorful LCD Screen Video Doorbell Video Door Phone Home Security Camera Monitor Intercom System, Crystal Clear Picture, Perfect Sound Quality, Ultra-slim Design Indoor Monitor; 90 Degrees Wide Visual Angle, Clear Night Vision and IP44 Wate",http://ecx.images-amazon.com/images/I/41by3Sjcg4L.jpg,45,security_and_surveillance/B00HEZV6AC.jpg
3,B00ZWOU5R2,streaming_media,1byone,"1byone 5GHz Wireless HDMI Streaming Media Player, WiFi Display Dongle Share Videos, Images, Docs, Live Camera and Music from All Smart Devices to TV, Monitor or Projector",https://images-na.ssl-images-amazon.com/images/I/41-QFubslLL.jpg,47,streaming_media/B00ZWOU5R2.jpg
4,B00RFLXE0A,television_accessories,1byone,1byone Shiny Antenna Super Thin Amplified HDTV Antenna 50 Miles Range with Detachable Amplifier Booster USB Power Supply to Boost Signal and 20ft Coaxial Cable,http://ecx.images-amazon.com/images/I/314oPMta8sL.jpg,52,television_accessories/B00RFLXE0A.jpg
5,B00IF70SDO,television_accessories,1byone,1byone OUS00-0185 Super Thin Indoor HDTV Antenna with Stand with 25 Miles Range and 10-Feet High Performance Coaxial Cable,http://ecx.images-amazon.com/images/I/31p-rZTAjGL.jpg,52,television_accessories/B00IF70SDO.jpg
6,B00IF70TSI,television_accessories,1byone,1byone OUS00-0187 Super Thin HDTV Antenna with 35 Miles Range and 10-Feet High Performance Coaxial Cable,http://ecx.images-amazon.com/images/I/417UJsSZcAL.jpg,52,television_accessories/B00IF70TSI.jpg
7,B00IF70QCW,television_accessories,1byone,"HDTV Antenna, 1byone Super Thin Digital Indoor HDTV Antenna - 25 Miles Range with 10ft High Performance Coax Cable, Extremely Soft Design and Lightweight",http://ecx.images-amazon.com/images/I/41ARMp6FPoL.jpg,52,television_accessories/B00IF70QCW.jpg
8,B00RFLGH5E,television_accessories,1byone,1byone OUS00-0562 Amplified HDTV Antenna 50 Miles Range with USB Power Supply and 20 Feet Coaxial Cable - White/Black,http://ecx.images-amazon.com/images/I/41C17tmGj8L.jpg,52,television_accessories/B00RFLGH5E.jpg
9,B016UZDYP6,monitor_risers,2 Lb. Depot,"2LB Depot Monitor Stand, Printer Stand with Adjustable 3 Heights Riser, 15.5 x 11.5 Inches, Black Plastic",http://ecx.images-amazon.com/images/I/31ZpVxesXNL.jpg,35,monitor_risers/B016UZDYP6.jpg
10,B001DTVKQ0,gaming_accessories,2K Games,The Wonder Pets!: Save the Animals - Nintendo DS,http://ecx.images-amazon.com/images/I/41ID1tS4deL.jpg,20,gaming_accessories/B001DTVKQ0.jpg
11,B01E6239QY,video_games,2K Games,NBA 2K17 - Early Tip Off Edition - Xbox One,http://ecx.images-amazon.com/images/I/51%2BLbowQc4L.jpg,60,video_games/B01E6239QY.jpg
12,B01G95INDK,video_cameras,360fly,360fly 360° 4K Video Camera,http://ecx.images-amazon.com/images/I/31f1C%2Bbj4-L.jpg,58,video_cameras/B01G95INDK.jpg
13,B01MRMA6SQ,video_cameras,360fly,360fly 360° HD Video Camera (Second Generation),http://ecx.images-amazon.com/images/I/31xL78IJ2jL.jpg,58,video_cameras/B01MRMA6SQ.jpg
14,B019HDT4ZW,3d_printers_and_supplies,3D CAM,3D Printer Hotend Mounting Block for Makerbot MK7 type Extruder RepRap Prusa i3,http://ecx.images-amazon.com/images/I/410ur8U3eoL.jpg,0,3d_printers_and_supplies/B019HDT4ZW.jpg
15,B00ZPM7BOG,drones,3D Robotics,3DR Solo Drone Quadcopter,http://ecx.images-amazon.com/images/I/41JgrJkl3AL.jpg,17,drones/B00ZPM7BOG.jpg
16,B01F9TR3KG,mice,3Dconnexion,3Dconnexion Space Mouse Enterprise (3DX-700056),http://ecx.images-amazon.com/images/I/31o5uJfEY8L.jpg,30,mice/B01F9TR3KG.jpg
17,B00UCFVFBQ,drones,3DRobotics,3D Robotics 3DR0417 BrightViewTM FPV Kit for 3DR Iris+ and X8+ Copters Plus Jestik Microfiber Cloth - Value Bundle,http://ecx.images-amazon.com/images/I/41DLq6ekhDL.jpg,17,drones/B00UCFVFBQ.jpg
18,B00OJFWFQO,drones,3DRobotics,3D Robotics RTF X8+ Multicopter 915 MHz RTF X8 915,http://ecx.images-amazon.com/images/I/41i6Wi87S5L.jpg,17,drones/B00OJFWFQO.jpg
19,B015K5SMBI,drones,3DRobotics,3D Robotics Solo Ready-to-Fly Aerial Photography Quadcopter Drone with 3DR Solo Gimbal for GoPro HERO3+ and HERO4 Cameras and Handheld Transmitter + Adorama GoPro 25 Accessory Kit,http://ecx.images-amazon.com/images/I/41mbCFf4hVL.jpg,17,drones/B015K5SMBI.jpg
20,B00C7AG18Q,computer_accessories,3M,3M Privacy Filter for Apple iMac 27-inch (PFIM27v2),http://ecx.images-amazon.com/images/I/41vuJBiL%2BhL.jpg,13,computer_accessories/B00C7AG18Q.jpg
21,B0015DRRGQ,keyboards,3M,"3M Lever-Adjust Keyboard Tray with Adjustable Platform, 17-3/4 Inch Track (AKT101LE)",http://ecx.images-amazon.com/images/I/21DPL55x0zL.jpg,26,keyboards/B0015DRRGQ.jpg
22,B001ASEZ2K,keyboards,3M,"3M Tool Free Installation Knob Adjust Keyboard Tray, Standard Platform, Gel Wrist Rest, Precise Mouse Pad, Black",http://ecx.images-amazon.com/images/I/4126z1XDnLL.jpg,26,keyboards/B001ASEZ2K.jpg
23,B001B0BBTW,keyboards,3M,"3M Easy Adjust Keyboard Tray, Standard Platform with Antimicrobial Gel Wrist Rest and Precise Mouse Pad, 23-inch Track, Black (AKT90LE)",http://ecx.images-amazon.com/images/I/412fI3PrJ0L.jpg,26,keyboards/B001B0BBTW.jpg
24,B000H0XBIG,keyboards,3M,"3M Lever Adjust Keyboard Tray, Standard Platform, Gel Wrist Rest, Precise Mouse Pad, 21.75 in Track, Black",http://ecx.images-amazon.com/images/I/414oioGooaL.jpg,26,keyboards/B000H0XBIG.jpg
25,B000F2BP7U,mice,3M,"3M Ergonomic Mouse, Optical, USB/PS2 Compatible, Small Size, Black (EM500GPS)",http://ecx.images-amazon.com/images/I/31cLH677jUL.jpg,30,mice/B000F2BP7U.jpg
26,B00008KWWF,mice,3M,"3M Ergonomic Mouse, Optical, USB/PS2 Compatible, Large Size, Black (EM500GPL)",http://ecx.images-amazon.com/images/I/31cLH677jUL.jpg,30,mice/B00008KWWF.jpg
27,B009NSGO3M,monitor_mounts,3M,"3M Easy Adjust Desk Mount Dual Monitor Arm, Space Saving Design, For Monitors, Black (MA260MB)",http://ecx.images-amazon.com/images/I/313exlBjBeL.jpg,34,monitor_mounts/B009NSGO3M.jpg
28,B009NSJ8J4,monitor_mounts,3M,3M Dual-Swivel Monitor Arm (MA140MB),http://ecx.images-amazon.com/images/I/31nWFyGE6BL.jpg,34,monitor_mounts/B009NSJ8J4.jpg
29,B00SWUJ4WA,monitor_risers,3M,MMMMS80B - 3m Adjustable Height Monitor Stand,http://ecx.images-amazon.com/images/I/3111BgY-ISL.jpg,35,monitor_risers/B00SWUJ4WA.jpg
30,B0188WOAF2,monitor_risers,3M,"3M Adjustable Monitor Stand for Computer Monitors and Laptops, Height Adjusts from 1.7 in to 5.5 in, Holds up to 20 lbs., 13.6 in Clearance Between Legs, Black (MS85B)",http://ecx.images-amazon.com/images/I/31PpAA7klBL.jpg,35,monitor_risers/B0188WOAF2.jpg
31,B000MK2Y2K,monitor_risers,3M,"3M Extra Wide Adjustable Monitor Stand, Height Adjusts 1-inch to 5 7/8-inch, Holds 40 lbs, 16-inch Space Between Columns, Silver/Black (MS90B)",http://ecx.images-amazon.com/images/I/31QwkcV5bCL.jpg,35,monitor_risers/B000MK2Y2K.jpg
